fecha,campo,jornada,local,local_goles,visitante_goles,visitante
N/D,N/D,1,KATURLAS FC,N/D,N/D,Descansa
21.10.2018,CIU UCM - UCM 3 NUEVO,1,QATAR MIKULO F.C.,1,2,DRINK TEAM
21.10.2018,CIU UCM - UCM 1,1,MUNCHIESTER,2,7,LA CRISIS UNITED
21.10.2018,CIU UCM - UCM 3 NUEVO,1,LOS MARINES,4,2,OJETES
21.10.2018,CIU UCM - UCM 1,1,CONTINOX CAVANNA,14,0,RAYAS BLANCAS
21.10.2018,CIU UCM,1,43 GOLAZOS,0,7,SEKTA
N/D,N/D,2,SEKTA,N/D,N/D,Descansa
28.10.2018,CIU UCM - UCM 2,2,RAYAS BLANCAS,2,3,LOS MARINES
28.10.2018,CIU UCM - UCM 3 NUEVO,2,KATURLAS FC,0,6,CONTINOX CAVANNA
28.10.2018,CIU UCM - UCM 3 NUEVO,2,DRINK TEAM,2,3,43 GOLAZOS
28.10.2018,CIU UCM - UCM 1,2,LA CRISIS UNITED,0,3,QATAR MIKULO F.C.
28.10.2018,CIU UCM - UCM 2,2,OJETES,4,0,MUNCHIESTER
N/D,N/D,3,CONTINOX CAVANNA,N/D,N/D,Descansa
04.11.2018,CIU UCM - UCM 1,3,SEKTA,5,3,DRINK TEAM
04.11.2018,CIU UCM - UCM 2,3,MUNCHIESTER,3,7,RAYAS BLANCAS
04.11.2018,CIU UCM - UCM 1,3,LOS MARINES,4,2,KATURLAS FC
04.11.2018,CIU UCM - UCM 2,3,QATAR MIKULO F.C.,3,2,OJETES
04.11.2018,CIU UCM - UCM 1,3,43 GOLAZOS,N/D,N/D,LA CRISIS UNITED
N/D,N/D,4,DRINK TEAM,N/D,N/D,Descansa
18.11.2018,CIU UCM - UCM 1,4,CONTINOX CAVANNA,N/D,N/D,LOS MARINES
18.11.2018,CIU UCM - UCM 2,4,OJETES,N/D,N/D,43 GOLAZOS
18.11.2018,CIU UCM - UCM 1,4,LA CRISIS UNITED,N/D,N/D,SEKTA
18.11.2018,CIU UCM - UCM 1,4,KATURLAS FC,N/D,N/D,MUNCHIESTER
18.11.2018,CIU UCM - UCM 2,4,RAYAS BLANCAS,N/D,N/D,QATAR MIKULO F.C.
N/D,N/D,5,QATAR MIKULO F.C.,N/D,N/D,KATURLAS FC
N/D,N/D,5,SEKTA,N/D,N/D,OJETES
N/D,N/D,5,MUNCHIESTER,N/D,N/D,CONTINOX CAVANNA
N/D,N/D,5,DRINK TEAM,N/D,N/D,LA CRISIS UNITED
N/D,N/D,5,LOS MARINES,N/D,N/D,Descansa
N/D,N/D,5,43 GOLAZOS,N/D,N/D,RAYAS BLANCAS
N/D,N/D,6,LA CRISIS UNITED,N/D,N/D,Descansa
N/D,N/D,6,KATURLAS FC,N/D,N/D,43 GOLAZOS
N/D,N/D,6,OJETES,N/D,N/D,DRINK TEAM
N/D,N/D,6,RAYAS BLANCAS,N/D,N/D,SEKTA
N/D,N/D,6,LOS MARINES,N/D,N/D,MUNCHIESTER
N/D,N/D,6,CONTINOX CAVANNA,N/D,N/D,QATAR MIKULO F.C.
N/D,N/D,7,MUNCHIESTER,N/D,N/D,Descansa
N/D,N/D,7,43 GOLAZOS,N/D,N/D,CONTINOX CAVANNA
N/D,N/D,7,QATAR MIKULO F.C.,N/D,N/D,LOS MARINES
N/D,N/D,7,SEKTA,N/D,N/D,KATURLAS FC
N/D,N/D,7,DRINK TEAM,N/D,N/D,RAYAS BLANCAS
N/D,N/D,7,LA CRISIS UNITED,N/D,N/D,OJETES
N/D,N/D,8,CONTINOX CAVANNA,N/D,N/D,SEKTA
N/D,N/D,8,RAYAS BLANCAS,N/D,N/D,LA CRISIS UNITED
N/D,N/D,8,MUNCHIESTER,N/D,N/D,QATAR MIKULO F.C.
N/D,N/D,8,KATURLAS FC,N/D,N/D,DRINK TEAM
N/D,N/D,8,OJETES,N/D,N/D,Descansa
N/D,N/D,8,LOS MARINES,N/D,N/D,43 GOLAZOS
N/D,N/D,9,OJETES,N/D,N/D,RAYAS BLANCAS
N/D,N/D,9,QATAR MIKULO F.C.,N/D,N/D,Descansa
N/D,N/D,9,DRINK TEAM,N/D,N/D,CONTINOX CAVANNA
N/D,N/D,9,SEKTA,N/D,N/D,LOS MARINES
N/D,N/D,9,LA CRISIS UNITED,N/D,N/D,KATURLAS FC
N/D,N/D,9,43 GOLAZOS,N/D,N/D,MUNCHIESTER
N/D,N/D,10,RAYAS BLANCAS,N/D,N/D,Descansa
N/D,N/D,10,KATURLAS FC,N/D,N/D,OJETES
N/D,N/D,10,LOS MARINES,N/D,N/D,DRINK TEAM
N/D,N/D,10,CONTINOX CAVANNA,N/D,N/D,LA CRISIS UNITED
N/D,N/D,10,QATAR MIKULO F.C.,N/D,N/D,43 GOLAZOS
N/D,N/D,10,MUNCHIESTER,N/D,N/D,SEKTA
N/D,N/D,11,SEKTA,N/D,N/D,QATAR MIKULO F.C.
N/D,N/D,11,RAYAS BLANCAS,N/D,N/D,KATURLAS FC
N/D,N/D,11,43 GOLAZOS,N/D,N/D,Descansa
N/D,N/D,11,DRINK TEAM,N/D,N/D,MUNCHIESTER
N/D,N/D,11,LA CRISIS UNITED,N/D,N/D,LOS MARINES
N/D,N/D,11,OJETES,N/D,N/D,CONTINOX CAVANNA
